designation,abs_mag,slope_param,epoch,mean_anomaly,arg_perihelion,long_asc_node,inclination,eccentricity,mean_motion,semi_major_axis,uncertainty,reference,num_observations,num_oppositions,first_obs,separator,last_obs,rms_residual,coarse_perturbers,precise_perturbers,computer,hex_flags,designation_full,last_obs_date,orbit_type,is_neo
00001,3.35,0.15,K25BL,231.53975,73.29974,80.24963,10.58789,0.0795763,0.21429712,2.7656157,0,MPO950947,7369.0,126,1801,-,2025,0.69,M-v,30k,MPCORBFIT,4000,(1) Ceres,2025-10-03,Type 0,False
00002,4.11,0.15,K25BL,211.52977,310.9334,172.88859,34.92833,0.230643,0.21379713,2.7699258,0,E2025-V46,9021.0,124,1804,-,2025,0.64,M-c,28k,MPCORBFIT,4000,(2) Pallas,2025-11-05,Type 0,False
00003,5.19,0.15,K25BL,217.59095,247.88367,169.81989,12.98604,0.2558258,0.22579938,2.6708791,0,MPO937415,7565.0,118,1804,-,2025,0.67,M-v,3Ek,MPCORBFIT,4000,(3) Juno,2025-08-08,Type 0,False
00004,3.25,0.15,K25BL,26.80968,151.53712,103.70232,7.14406,0.0901676,0.27158812,2.3615413,0,MPO925791,7543.0,112,1821,-,2025,0.69,M-p,18k,MPCLINUX,4000,(4) Vesta,2025-06-24,Type 0,False
00005,6.97,0.15,K25BL,133.8676,359.34517,141.44862,5.35925,0.1875086,0.23826852,2.5768646,0,MPO950947,3339.0,89,1845,-,2025,0.79,M-v,3Ek,MPCORBFIT,4000,(5) Astraea,2025-10-06,Type 0,False
00006,5.61,0.15,K25BL,352.56367,239.69622,138.61473,14.73615,0.2022301,0.26092182,2.4254693,0,MPO950947,6086.0,105,1848,-,2025,0.65,M-v,3Ek,MPCORBFIT,4007,(6) Hebe,2025-09-03,Phocaea,False
00007,5.68,0.15,K25BL,61.72502,145.48204,259.49459,5.51881,0.2302133,0.26733389,2.386529,0,E2025-UU7,5332.0,92,1848,-,2025,0.69,M-v,3Ek,MPCLINUX,0000,(7) Iris,2025-10-08,Type 0,False
00008,6.61,0.15,K25BL,198.90078,285.42673,110.84339,5.89033,0.1563337,0.30177489,2.2013072,0,MPO937415,2806.0,95,1847,-,2025,0.78,M-v,3Ek,MPCORBFIT,0000,(8) Flora,2025-08-03,Type 0,False
00009,6.33,0.15,K25BL,199.19648,5.89591,68.86978,5.57771,0.1225645,0.26732757,2.3865665,0,MPO950947,3040.0,87,1822,-,2025,0.77,M-v,3Ek,MPCORBFIT,0000,(9) Metis,2025-10-04,Type 0,False
00010,5.64,0.15,K25BL,216.69031,312.60583,283.12164,3.83294,0.1082238,0.17649669,3.1475914,0,MPO950947,4152.0,100,1849,-,2025,0.73,M-v,3Ek,MPCORBFIT,0000,(10) Hygiea,2025-09-19,Type 0,False
00011,6.73,0.15,K25BL,173.65693,196.42014,125.46698,4.63575,0.1004774,0.25651532,2.4531673,0,E2025-V38,9677.0,107,1850,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(11) Parthenope,2025-11-04,Type 0,False
00012,7.29,0.15,K25BL,76.93597,69.54624,235.35286,8.37403,0.2199307,0.27643789,2.3338396,0,E2025-UR3,3552.0,84,1850,-,2025,0.77,M-v,3Ek,MPCORBFIT,0000,(12) Victoria,2025-10-28,Type 0,False
00013,6.91,0.15,K25BL,40.99101,79.06456,43.17717,16.52553,0.084682,0.23835258,2.5762588,0,MPO950947,3122.0,75,1850,-,2025,0.8,M-v,3Ek,MPCLINUX,0000,(13) Egeria,2025-05-18,Type 0,False
00014,6.54,0.15,K25BL,12.92605,98.26521,86.00981,9.12955,0.1626702,0.23674977,2.5878733,0,MPO950947,2974.0,85,1851,-,2025,0.83,M-v,3Ek,MPCLINUX,0000,(14) Irene,2025-05-26,Type 0,False
00015,5.42,0.15,K25BL,113.72578,98.5072,292.88123,11.76143,0.1877813,0.22948746,2.6421861,0,E2025-V50,4575.0,87,1851,-,2025,0.6,M-v,3Ek,MPCORBFIT,0000,(15) Eunomia,2025-11-07,Type 0,False
00016,6.2,0.15,K25BL,40.63883,229.75341,150.00988,3.09729,0.1343462,0.19719267,2.9233145,0,MPO950947,7635.0,95,1852,-,2025,0.53,M-v,3Ek,MPCLINUX,0000,(16) Psyche,2025-08-22,Type 0,False
00017,7.91,0.15,K25BL,192.66164,135.94951,125.50275,5.59392,0.1312584,0.25346304,2.4728226,0,E2025-V46,10545.0,98,1852,-,2025,0.53,M-v,3Ek,MPCORBFIT,0000,(17) Thetis,2025-11-06,Type 0,False
00018,6.35,0.15,K25BL,227.26386,228.05175,150.32895,10.13086,0.217962,0.28338181,2.295557,0,MPO937415,5773.0,86,1852,-,2025,0.69,M-v,3Ek,MPCORBFIT,0000,(18) Melpomene,2025-08-07,Type 0,False
00019,7.49,0.15,K25BL,96.49967,182.51542,211.00111,1.57331,0.1580362,0.25826685,2.4420634,0,E2025-V23,8737.0,98,1852,-,2025,0.56,M-v,3Ek,MPCORBFIT,0000,(19) Fortuna,2025-11-02,Type 0,False
00020,6.54,0.15,K25BL,29.99984,257.23342,205.95443,0.70925,0.1437636,0.26369933,2.4084078,0,E2025-V15,9385.0,95,1856,-,2025,0.46,M-v,3Ek,MPCORBFIT,0000,(20) Massalia,2025-11-01,Type 0,False
00021,7.49,0.15,K25BL,246.81008,249.93981,80.83714,3.06457,0.1647833,0.25954751,2.4340237,0,MPO925791,6108.0,81,1866,-,2025,0.62,M-v,3Ek,MPCLINUX,0000,(21) Lutetia,2025-07-08,Type 0,False
00022,6.79,0.15,K25BL,310.67004,358.23621,65.96712,13.70168,0.0988798,0.19860227,2.9094657,0,MPO950947,11712.0,88,1854,-,2025,0.44,M-v,3Ek,MPCORBFIT,0000,(22) Kalliope,2025-09-25,Type 0,False
00023,7.12,0.15,K25BL,170.19674,61.63368,66.48766,10.10821,0.2312418,0.23123238,2.6288771,0,E2025-V65,3915.0,71,1856,-,2025,0.7,M-v,3Ek,MPCORBFIT,0000,(23) Thalia,2025-11-09,Type 0,False
00024,7.22,0.15,K25BL,56.76453,109.10768,36.39207,0.7367,0.115343,0.17686211,3.1432542,0,MPO937415,5260.0,95,1853,-,2025,0.77,M-v,3Ek,MPCORBFIT,0000,(24) Themis,2025-08-12,Type 0,False
00025,7.87,0.15,K25BL,89.19817,90.2319,214.08841,21.60663,0.254034,0.26503732,2.4002954,0,E2025-V34,5850.0,75,1860,-,2025,0.64,M-v,3Ek,MPCORBFIT,0000,(25) Phocaea,2025-10-24,Type 0,False
00026,7.48,0.15,K25BL,289.59074,196.05663,45.68524,3.55452,0.0886309,0.22780973,2.6551427,0,E2025-V07,3662.0,87,1861,-,2025,0.8,M-v,3Ek,MPCORBFIT,0000,(26) Proserpina,2025-11-01,Type 0,False
00027,7.03,0.15,K25BL,272.94178,356.56876,94.76753,1.58332,0.1715637,0.27408572,2.347173,0,E2025-V46,3227.0,79,1853,-,2025,0.76,M-v,3Ek,MPCORBFIT,0000,(27) Euterpe,2025-11-06,Type 0,False
00028,7.23,0.15,K25BL,65.45935,343.46246,144.15087,9.42325,0.1489865,0.21294806,2.7772838,0,MPO925791,3620.0,105,1856,-,2025,0.79,M-v,3Ek,MPCLINUX,0000,(28) Bellona,2025-07-08,Type 0,False
00029,5.97,0.15,K25BL,145.10816,61.90576,356.25475,6.07744,0.0733503,0.24145814,2.5541211,0,MPO925791,2425.0,98,1855,-,2025,0.81,M-v,3Ek,MPCLINUX,0000,(29) Amphitrite,2025-07-08,Type 0,False
00030,7.57,0.15,K25BL,319.52134,87.19213,307.39646,2.0937,0.1267294,0.27088415,2.3656309,0,E2025-V34,4083.0,82,1860,-,2025,0.73,M-v,3Ek,MPCORBFIT,0000,(30) Urania,2025-10-22,Type 0,False
00031,6.81,0.15,K25BL,147.89313,61.97074,30.7959,26.31223,0.2159207,0.17533281,3.1615053,0,MPO950947,3351.0,66,1860,-,2025,0.76,M-v,3Ek,MPCLINUX,0000,(31) Euphrosyne,2025-09-22,Type 0,False
00032,7.75,0.15,K25BL,242.00563,337.85852,220.3566,5.52082,0.0813067,0.23675327,2.5878478,0,E2025-V34,7946.0,77,1864,-,2025,0.51,M-v,3Ek,MPCORBFIT,0000,(32) Pomona,2025-10-22,Type 0,False
00033,8.47,0.15,K25BL,107.06975,338.82786,8.21189,1.85203,0.3332669,0.20227388,2.8741505,0,E2025-V50,4986.0,76,1856,-,2025,0.76,M-v,3Ek,MPCORBFIT,0000,(33) Polyhymnia,2025-11-07,Type 0,False
00034,8.76,0.15,K25BL,305.20904,329.41379,184.29422,5.49588,0.106784,0.22365311,2.6879391,0,E2025-V65,10265.0,74,1864,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(34) Circe,2025-11-07,Type 0,False
00035,8.68,0.15,K25BL,309.11721,215.43996,352.90955,7.86607,0.2172633,0.1891411,3.0056987,0,E2025-V50,6689.0,72,1860,-,2025,0.69,M-v,3Ek,MPCORBFIT,0000,(35) Leukothea,2025-11-07,Type 0,False
00036,8.57,0.15,K25BL,99.55969,47.76897,358.163,18.37428,0.3063057,0.21675593,2.7446611,0,MPO950947,3808.0,58,1866,-,2025,0.74,M-v,3Ek,MPCLINUX,0000,(36) Atalante,2025-06-09,Type 0,False
00037,7.34,0.15,K25BL,172.87172,62.30602,7.23568,3.06763,0.1747142,0.22937647,2.6430384,0,MPO950947,3776.0,94,1855,-,2025,0.78,M-v,3Ek,MPCLINUX,0000,(37) Fides,2025-09-07,Type 0,False
00038,8.49,0.15,K25BL,165.76116,169.78348,295.49341,6.95165,0.1509283,0.21700313,2.7425763,0,MPO950947,4622.0,67,1856,-,2025,0.76,M-v,3Ek,MPCORBFIT,0000,(38) Leda,2025-10-06,Type 0,False
00039,5.97,0.15,K25BL,93.69776,210.27868,156.84322,10.37524,0.1130636,0.21367445,2.7709859,0,E2025-V34,11775.0,93,1856,-,2025,0.5,M-v,3Ek,MPCORBFIT,0000,(39) Laetitia,2025-10-20,Type 0,False
00040,6.56,0.15,K25BL,80.29464,269.84324,94.15655,4.25575,0.0462893,0.28859085,2.2678501,0,E2025-V38,10300.0,80,1860,-,2025,0.55,M-v,3Ek,MPCORBFIT,0000,(40) Harmonia,2025-11-04,Type 0,False
00041,7.58,0.15,K25BL,288.43727,46.91596,177.61962,15.72829,0.270442,0.213944,2.768658,0,E2025-V50,7113.0,70,1866,-,2025,0.61,M-v,3Ek,MPCORBFIT,0000,(41) Daphne,2025-11-08,Type 0,False
00042,7.7,0.15,K25BL,103.03901,237.41146,84.16707,8.51002,0.2219265,0.25799285,2.4437922,0,E2025-V38,8134.0,81,1856,-,2025,0.52,M-v,3Ek,MPCORBFIT,0000,(42) Isis,2025-11-04,Type 0,False
00043,7.94,0.15,K25BL,141.45122,16.18526,264.74735,3.47056,0.1681473,0.30132902,2.2034781,0,MPO950947,3510.0,81,1864,-,2025,0.78,M-v,3Ek,MPCLINUX,0000,(43) Ariadne,2025-10-01,Type 0,False
00044,6.75,0.15,K25BL,349.10621,343.99369,131.47702,3.71255,0.1498777,0.26128994,2.4231907,0,MPO950947,8100.0,86,1864,-,2025,0.49,M-v,3Ek,MPCORBFIT,0000,(44) Nysa,2025-10-05,Type 0,False
00045,7.76,0.15,K25BL,206.55227,87.29355,147.55501,6.60564,0.0821724,0.21951887,2.7215823,0,E2025-V65,12089.0,79,1866,-,2025,0.49,M-v,3Ek,MPCORBFIT,0000,(45) Eugenia,2025-11-04,Type 0,False
00046,8.51,0.15,K25BL,299.75219,177.04962,181.05933,2.35132,0.1719293,0.24551898,2.5258797,0,MPO950947,5572.0,81,1864,-,2025,0.75,M-v,3Ek,MPCORBFIT,0000,(46) Hestia,2025-10-04,Type 0,False
00047,8.16,0.15,K25BL,174.33218,316.20622,2.69449,4.96978,0.1333141,0.20153838,2.881139,0,E2025-V65,5583.0,78,1860,-,2025,0.74,M-v,3Ek,MPCORBFIT,0000,(47) Aglaja,2025-11-09,Type 0,False
00048,7.12,0.15,K25BL,141.74525,251.35542,183.42798,6.55777,0.0662636,0.17945784,3.1128708,0,MPO937415,4323.0,95,1860,-,2025,0.77,M-v,3Ek,MPCORBFIT,0000,(48) Doris,2025-08-07,Type 0,False
